"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",1,"Altino",NA,"","Commune","Commune","",""
2,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",2,"Archi",NA,"","Commune","Commune","",""
3,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",3,"Ari",NA,"","Commune","Commune","",""
4,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",4,"Arielli",NA,"","Commune","Commune","",""
5,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",5,"Atessa",NA,"","Commune","Commune","",""
6,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",6,"Bomba",NA,"","Commune","Commune","",""
7,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",7,"Borrello",NA,"","Commune","Commune","",""
8,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",8,"Bucchianico",NA,"","Commune","Commune","",""
9,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",9,"Canosa Sannita",NA,"","Commune","Commune","",""
10,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",10,"Carpineto Sinello",NA,"","Commune","Commune","",""
11,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",11,"Carunchio",NA,"","Commune","Commune","",""
12,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",12,"Casacanditella",NA,"","Commune","Commune","",""
13,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",13,"Casalanguida",NA,"","Commune","Commune","",""
14,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",14,"Casalbordino",NA,"","Commune","Commune","",""
15,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",15,"Casalincontrada",NA,"","Commune","Commune","",""
16,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",16,"Casoli",NA,"","Commune","Commune","",""
17,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",17,"Castel Frentano",NA,"","Commune","Commune","",""
18,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",18,"Castelguidone",NA,"","Commune","Commune","",""
19,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",19,"Castiglione Messer Marino",NA,"","Commune","Commune","",""
20,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",20,"Celenza Sul Trigno",NA,"","Commune","Commune","",""
21,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",21,"Chieti",NA,"","Commune","Commune","",""
22,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",22,"Civitaluparella",NA,"","Commune","Commune","",""
23,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",23,"Civitella Messer Raimondo",NA,"","Commune","Commune","",""
24,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",24,"Colledimacine",NA,"","Commune","Commune","",""
25,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",25,"Colledimezzo",NA,"","Commune","Commune","",""
26,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",26,"Crecchio",NA,"","Commune","Commune","",""
27,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",27,"Cupello",NA,"","Commune","Commune","",""
28,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",28,"Dogliola",NA,"","Commune","Commune","",""
29,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",29,"Fallo",NA,"","Commune","Commune","",""
30,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",30,"Fara Filiorum Petri",NA,"","Commune","Commune","",""
31,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",31,"Fara San Martino",NA,"","Commune","Commune","",""
32,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",32,"Filetto",NA,"","Commune","Commune","",""
33,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",33,"Fossacesia",NA,"","Commune","Commune","",""
34,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",34,"Fraine",NA,"","Commune","Commune","",""
35,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",35,"Francavilla Al Mare",NA,"","Commune","Commune","",""
36,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",36,"Fresagrandinaria",NA,"","Commune","Commune","",""
37,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",37,"Frisa",NA,"","Commune","Commune","",""
38,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",38,"Furci",NA,"","Commune","Commune","",""
39,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",39,"Gamberale",NA,"","Commune","Commune","",""
40,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",40,"Gessopalena",NA,"","Commune","Commune","",""
41,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",41,"Gissi",NA,"","Commune","Commune","",""
42,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",42,"Giuliano Teatino",NA,"","Commune","Commune","",""
43,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",43,"Guardiagrele",NA,"","Commune","Commune","",""
44,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",44,"Guilmi",NA,"","Commune","Commune","",""
45,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",45,"Lama Dei Peligni",NA,"","Commune","Commune","",""
46,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",46,"Lanciano",NA,"","Commune","Commune","",""
47,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",47,"Lentella",NA,"","Commune","Commune","",""
48,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",48,"Lettopalena",NA,"","Commune","Commune","",""
49,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",49,"Liscia",NA,"","Commune","Commune","",""
50,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",50,"Miglianico",NA,"","Commune","Commune","",""
51,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",51,"Montazzoli",NA,"","Commune","Commune","",""
52,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",52,"Montebello Sul Sangro",NA,"","Commune","Commune","",""
53,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",53,"Monteferrante",NA,"","Commune","Commune","",""
54,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",54,"Montelapiano",NA,"","Commune","Commune","",""
55,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",55,"Montenerodomo",NA,"","Commune","Commune","",""
56,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",56,"Monteodorisio",NA,"","Commune","Commune","",""
57,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",57,"Mozzagrogna",NA,"","Commune","Commune","",""
58,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",58,"Orsogna",NA,"","Commune","Commune","",""
59,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",59,"Ortona",NA,"","Commune","Commune","",""
60,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",60,"Paglieta",NA,"","Commune","Commune","",""
61,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",61,"Palena",NA,"","Commune","Commune","",""
62,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",62,"Palmoli",NA,"","Commune","Commune","",""
63,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",63,"Palombaro",NA,"","Commune","Commune","",""
64,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",64,"Pennadomo",NA,"","Commune","Commune","",""
65,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",65,"Pennapiedimonte",NA,"","Commune","Commune","",""
66,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",66,"Perano",NA,"","Commune","Commune","",""
67,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",67,"Pietraferrazzana",NA,"","Commune","Commune","",""
68,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",68,"Pizzoferrato",NA,"","Commune","Commune","",""
69,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",69,"Poggiofiorito",NA,"","Commune","Commune","",""
70,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",70,"Pollutri",NA,"","Commune","Commune","",""
71,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",71,"Pretoro",NA,"","Commune","Commune","",""
72,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",72,"Quadri",NA,"","Commune","Commune","",""
73,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",73,"Rapino",NA,"","Commune","Commune","",""
74,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",74,"Ripa Teatina",NA,"","Commune","Commune","",""
75,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",75,"Rocca San Giovanni",NA,"","Commune","Commune","",""
76,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",76,"Roccamontepiano",NA,"","Commune","Commune","",""
77,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",77,"Roccascalegna",NA,"","Commune","Commune","",""
78,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",78,"Roccaspinalveti",NA,"","Commune","Commune","",""
79,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",79,"Roio Del Sangro",NA,"","Commune","Commune","",""
80,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",80,"Rosello",NA,"","Commune","Commune","",""
81,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",81,"San Buono",NA,"","Commune","Commune","",""
82,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",82,"San Giovanni Lipioni",NA,"","Commune","Commune","",""
83,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",83,"San Giovanni Teatino",NA,"","Commune","Commune","",""
84,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",84,"San Martino Sulla Marrucina",NA,"","Commune","Commune","",""
85,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",85,"San Salvo",NA,"","Commune","Commune","",""
86,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",86,"San Vito Chietino",NA,"","Commune","Commune","",""
87,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",87,"Sant' Eusanio del Sangro",NA,"","Commune","Commune","",""
88,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",88,"Santa Maria Imbaro",NA,"","Commune","Commune","",""
89,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",89,"Scerni",NA,"","Commune","Commune","",""
90,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",90,"Schiavi Di Abruzzo",NA,"","Commune","Commune","",""
91,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",91,"Taranta Peligna",NA,"","Commune","Commune","",""
92,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",92,"Tollo",NA,"","Commune","Commune","",""
93,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",93,"Torino Di Sangro",NA,"","Commune","Commune","",""
94,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",94,"Tornareccio",NA,"","Commune","Commune","",""
95,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",95,"Torrebruna",NA,"","Commune","Commune","",""
96,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",96,"Torrevecchia Teatina",NA,"","Commune","Commune","",""
97,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",97,"Torricella Peligna",NA,"","Commune","Commune","",""
